epoch,loss
0,2080.841064453125
1,661.1638793945312
2,476.7882080078125
3,394.2568359375
4,347.9290466308594
5,319.7676086425781
6,288.5744934082031
7,251.90362548828125
8,224.4102783203125
9,203.95367431640625
10,186.1693572998047
11,168.47439575195312
12,153.96981811523438
13,140.1954345703125
14,128.41629028320312
15,118.05327606201172
16,108.6762924194336
17,99.07979583740234
18,90.02120971679688
19,81.4157943725586
20,73.16997528076172
21,66.20238494873047
22,59.78538513183594
23,51.7108268737793
24,42.52370834350586
25,33.05478286743164
26,24.627838134765625
27,17.729053497314453
28,12.635637283325195
29,9.369488716125488
30,7.163868427276611
31,5.622664451599121
32,4.468927383422852
33,3.5778415203094482
34,2.916350841522217
35,2.3944993019104004
36,1.9816092252731323
37,1.6472984552383423
38,1.3754560947418213
39,1.1551748514175415
40,0.9730753302574158
41,0.8240684270858765
42,0.697486937046051
43,0.593473494052887
44,0.5077119469642639
45,0.4339582026004791
46,0.37416961789131165
47,0.3208782970905304
48,0.28027889132499695
49,0.2412048876285553
50,0.2068471610546112
51,0.18010035157203674
52,0.15730883181095123
53,0.1370941400527954
54,0.11956273019313812
55,0.10470084100961685
56,0.09186656773090363
57,0.0804876908659935
58,0.07313966751098633
59,0.0626077950000763
60,0.06942228972911835
61,0.04802700877189636
62,0.06402436643838882
63,0.040599316358566284
64,0.03612479940056801
65,0.03186951205134392
66,1.1835687160491943
67,0.025548303499817848
68,0.023631494492292404
69,0.021567227318882942
70,0.019336849451065063
71,1.1069178581237793
72,0.016394827514886856
73,0.016080215573310852
74,0.013897200115025043
75,0.013009637594223022
76,0.011927159503102303
77,1.0129104852676392
78,0.01033699419349432
79,0.009575314819812775
80,0.009074298664927483
81,0.008538407273590565
82,1.0202805995941162
83,0.0076005905866622925
84,0.007257238496094942
85,0.006903485860675573
86,0.006696465890854597
87,1.001551866531372
88,0.0060264952480793
89,0.006478224415332079
90,0.005809497553855181
91,0.993723452091217
92,0.009965755045413971
93,0.0051207286305725574
94,0.9865314960479736
95,0.004892020486295223
96,0.9772720336914062
97,0.004959964659065008
98,0.004635090008378029
99,0.6728122234344482
